Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
405,0,0,Kyle Korver,PHI,24,82,43,39,32.5,11.5,3.9,9.3,41.8,2.8,6.8,40.5,1,1.2,85.4,0.5,4.1,4.6,2.2,1.3,1.3,0.4,3.2,4,0,0.5
405,0,0,Speedy Claxton,NOH,27,62,22,40,30.2,11.5,4.1,9.9,42.1,0.2,1,18,3,4.1,73.6,0.6,2.4,3,6,1.9,1.8,0.1,3,8,0,-3.2
405,0,0,Kurt Thomas,NYK,32,80,31,49,35.7,11.5,5.3,11.3,47.1,0,0.1,50,0.8,1.1,78.6,2.1,8.3,10.4,2,1.2,0.9,1,3.9,32,0,-1.8
405,0,0,Gary Payton,BOS,36,77,41,36,33.1,11.3,4.4,9.4,46.8,0.5,1.7,32.6,2,2.6,76.1,0.6,2.4,3.1,6.1,1.9,1.1,0.2,1.6,7,0,0.7
405,0,0,Tyronn Lue,ATL,28,70,16,54,28.7,11.2,4.2,9.3,45.1,0.8,2.2,35.5,2,2.4,86.1,0.2,1.9,2.1,4.6,1.5,0.5,0,2.4,4,0,-6.5
405,0,0,Antonio Daniels,SEA,30,75,50,25,27,11.2,3.6,8.3,43.8,0.7,2.2,29.7,3.3,4.1,81.6,0.3,2,2.3,4.1,1,0.7,0,1,1,0,2.7
405,0,0,Keith Van Horn,DAL,29,62,35,27,24.2,11.2,4.1,9.1,45.6,0.9,2.3,38,2.1,2.5,81.5,1.4,3.3,4.7,1.2,1.3,0.6,0.3,2.7,5,0,1.3
405,0,0,Gerald Wallace,CHA,22,70,16,54,30.7,11.1,4.1,9.1,44.9,0.2,0.9,27.4,2.7,4.1,66.1,1.7,3.8,5.5,2,2.3,1.7,1.3,2.6,7,0,-2.6
405,0,0,Nick Van Exel,POR,33,53,20,33,30.5,11.1,4,10.6,38.1,1.9,4.8,38.9,1.1,1.4,78.4,0.4,2.7,3,4.3,1.7,0.8,0,1.3,1,0,-1.4
405,0,0,Raef LaFrentz,BOS,29,80,44,36,27.5,11.1,4.3,8.6,49.6,1,2.8,36.4,1.5,1.9,81.1,1.9,5,6.9,1.2,0.9,0.5,1.2,3.3,11,0,1.4
405,0,0,Joe Smith,MIL,29,74,28,46,30.7,11,4.3,8.4,51.4,0,0,0,2.4,3.1,76.8,2.4,4.9,7.3,0.9,1.1,0.6,0.5,3,14,0,-1
405,0,0,Udonis Haslem,MIA,25,80,59,21,33.5,10.9,4.3,8,54,0,0.1,0,2.2,2.8,79.1,3,6.1,9.1,1.4,1.4,0.8,0.5,3.3,23,0,5.2
405,0,0,P.J. Brown,NOH,35,82,18,64,34.5,10.8,4.1,9.2,44.6,0,0,0,2.6,3,86.4,3.2,5.7,9,2.2,1.2,0.9,0.6,2.8,28,0,-4.9
